,Place of distribution,Total publications
0,,254
1,City of Brussels,112
2,Province of Antwerp,36
3,Hasselt,34
4,Ghent,25
5,Arrondissement of Leuven,17
6,Arrondissement of Roeselare,16
7,Bruges,15
8,Kortrijk,14
9,Aalst,12
10,Arrondissement of Mechelen,9
11,Lommel,6
12,Arrondissement of Tielt,6
13,Genk,6
14,Arrondissement of Turnhout,6
15,Rome,6
16,Edegem,5
17,Arrondissement of Ypres,5
18,Kessel-Lo,5
19,Oudenaarde,4
20,Zottegem,4
21,Sint-Katelijne-Waver,4
22,Boechout,4
23,Borgerhout,4
24,Averbode,4
25,Halle (Saale),4
26,Berchem,4
27,Sint-Truiden,4
28,Heverlee,4
29,Namur,4
30,Tervuren,4
31,Poperinge,3
32,Deinze,3
33,Kasterlee,3
34,Ostend,3
35,Boom,3
36,Bierbeek,3
37,Sint-Niklaas,3
38,Kinrooi,3
39,Temse,3
40,Vichte,3
41,Ichtegem,3
42,Deerlijk,2
43,Ganshoren,2
44,Merkem,2
45,Huldenberg,2
46,Kalmthout,2
47,Brasschaat,2
48,Steenhuffel,2
49,Laakdal,2
50,Wilhelm Meise,2
51,Eeklo,2
52,Dudzele,2
53,Londerzeel,2
54,Heusden-Zolder,2
55,Retie,2
56,Assen,2
57,Merksem,2
58,Oostkamp,2
59,Deurne,2
60,Tessenderlo,2
61,Neerpelt,2
62,Meulebeke,2
63,Destelbergen,2
64,Houthalen,2
65,Laarne,2
66,Oudergem,2
67,Schoten,2
68,Wondelgem,2
69,Waregem,2
70,Drogenbos,2
71,Zaventem,2
72,Menen,2
73,De Haan,2
74,Ninove,2
75,Onze-Lieve-Vrouw-Waver,2
76,Izegem,2
77,Heusden,2
78,Arrondissement of Tournai,2
79,Arrondissement of Veurne,2
80,Vilvoorde,2
81,Overijse,2
82,Aalter,2
83,Kemmel,2
84,Hamme,2
85,Gavere,2
86,Anderlecht,2
87,Baudour,2
88,Zuun,1
89,Erembodegem,1
90,Lichtaart,1
91,Lauwe,1
92,Wortel,1
93,Watou,1
94,Roma,1
95,Lint,1
96,Bree,1
97,Dilsen,1
98,Landen,1
99,Moerbeke,1
100,Nevele,1
101,Beersel,1
102,Boekhoute,1
103,Burcht,1
104,Sint-Genesius-Rode,1
105,Rumst,1
106,Grobbendonk,1
107,Harelbeke,1
108,Heist-op-den-Berg,1
109,Hoogstraten,1
110,Balen,1
111,Lokeren,1
112,Lochristi,1
113,Wemmel,1
114,Herent,1
115,Liedekerke,1
116,Molenbeek,1
117,Baasrode,1
118,Ekeren,1
119,Kastel,1
120,Herentals,1
121,Kortemark,1
122,Lebbeke,1
123,Lille,1
124,Mus,1
125,Paal,1
126,Oudenburg,1
127,Ramsel,1
128,Rollegem,1
129,Wilrijk,1
130,Glabais,1
131,Strasbourg,1
132,Paris,1
133,Antwerp,1
