,Owner_entity,COUNT(*)
0,"Kwb. St. Lutgardis, Oth",1
1,"Ccod. Aalst, Oth",1
2,"Cvp-jongeren, Gent, Oth",1
3,"Ksa. Poperinge, Oth",1
4,"Ksa. St.-jacobsbond, Oth",1
5,"Acw. Zottegem, Oth",1
6,"Vksj. Erembodegem, Oth",1
7,"Ksa-vksj. Deinze, Oth",1
8,"Ksa-vksj. Lichtaart, Oth",1
9,"Ksj. Ganshoren, Oth",1
10,"Vksj. Edegem, Oth",1
11,"Ksa. Lauwe, Oth",1
12,"Vksj. Oudenaarde, Oth",1
13,"Ksa. Lommel, Oth",1
14,"Ksa. Kortrijk, Oth",1
15,"Ksa. Roeselare, Oth",1
16,"Klj. Sint-katelijne-waver, Oth",1
17,"Klj. Wortel, Oth",1
18,"Ksa. Aalst, Oth",1
19,"Ksa. Jongknapen Roeselare, Oth",1
20,"Ksa. Merkem, Oth",1
21,"Ksa. Watou, Oth",1
22,"Mpi. Ganspoel, Oth",1
23,"Cvp. Bree-opitter, Oth",1
24,"Cvp-jongeren, Dilsen, Oth",1
25,"Cvp. Antwerpen Luchtbal, Oth",1
26,"Cvp-jongeren, Ieper, Oth",1
27,"Cvp. Groot-middelkerke, Oth",1
28,"Cvp, Nevele, Oth",1
29,"Cvp, Poperinge, Oth",1
30,"Koninklijke Fanfare Sint-lambertus, Beersel, Oth",1
31,"Fanfare De Braeckmanszonen, Boekhoute, Oth",1
32,"Koninklijke Katholieke Fanfare Eendracht, Burcht, Oth",1
33,"Koninklijke Harmonie De Drij Koningen, Borgerhout, Oth",1
34,"Cvp, Sint-genesius-rode, Oth",1
35,"Cvp. Gent, Oth",1
36,"Ipovo, Gent, Oth",1
37,"Cvp, Grobbendonk-bouwel, Oth",1
38,"Cvp, Harelbeke, Oth",1
39,"Cvp, Heist-op-den-berg, Oth",1
40,"Cvp, Hoogstraten, Oth",1
41,"Cvp. Antwerpen-noord, Oth",1
42,"Cvp, Balen-olmen, Oth",1
43,"Cvp, Boom, Oth",1
44,"Cvp, Sint-katelijne-waver, Oth",1
45,"Cvp, Lokeren, Oth",1
46,"Cvp. Beervelde-lochristi-zaffelare-zeveneken, Oth",1
47,"Cvp, Wemmel, Oth",1
48,"Cvp-evp, Herent, Oth",1
49,"Cvp, Roeselare-tielt, Oth",1
50,"Cvp-evp, Bierbeek, Oth",1
51,"Cvp, Liedekerke, Oth",1
52,"Toneelgroep De Reynaertghesellen, Leuven, Oth",1
53,"Koninklijke Katholieke Harmonie De Eendracht, Baasrode, Oth",1
54,"Vrije Accordeonmaatschappij De Nachtegaal, Edegem, Oth",1
55,"Koninklijke Harmonie Poldergalm, Dudzele, Oth",1
56,"Koninklijke Fanfare Sint-Cecilia, Kastel, Oth",1
